customer_id,segment,customer_orders,customer_sales,customer_profit,first_order_date,last_order_date,customer_avg_discount,line_count,loss_line_count,customer_margin,recency_days,customer_avg_order_value,is_repeat_customer,loss_line_rate,customer_label
JH-15985,Consumer,1,4297.644,-1862.3124,2015-01-28,2015-01-28,0.4,1,1,-0.4333333333333333,1067,4297.644,False,1.0,KH-014
TB-21520,Consumer,3,3631.5879999999997,-1768.453,2014-10-21,2016-02-04,0.325,4,2,-0.48696410495904274,695,1210.5293333333332,True,0.5,KH-026
CP-12340,Corporate,2,3336.318,-1125.8011,2014-03-17,2016-06-03,0.35000000000000003,4,4,-0.3374381878466021,575,1668.159,True,1.0,KH-030
Dp-13240,Home Office,4,2888.1059999999998,-1094.9039,2014-10-11,2017-10-07,0.2571428571428572,7,3,-0.3791079344040697,84,722.0264999999999,True,0.42857142857142855,KH-043
VP-21760,Corporate,4,2313.504,-1034.1218999999999,2014-09-06,2017-10-16,0.18,5,3,-0.4469937808622764,75,578.376,True,0.6,KH-075
TN-21040,Home Office,2,1418.5420000000001,-793.6506,2014-10-10,2016-04-22,0.3,3,1,-0.5594833286571705,617,709.2710000000001,True,0.3333333333333333,KH-180
MM-18055,Consumer,4,1935.307,-730.9481,2014-05-26,2017-09-08,0.4,4,3,-0.37769103299889883,113,483.82675,True,0.75,KH-110
AJ-10780,Corporate,3,1735.5639999999999,-689.6546,2014-01-10,2017-05-14,0.13333333333333333,3,1,-0.39736627401812896,230,578.5213333333332,True,0.3333333333333333,KH-141
SS-20410,Consumer,3,1618.269,-661.8045999999999,2014-05-30,2015-11-21,0.3,3,2,-0.4089583375816999,770,539.423,True,0.6666666666666666,KH-153
TP-21415,Consumer,4,4899.1208,-621.944,2015-11-28,2017-08-17,0.305,4,3,-0.12695012541842202,135,1224.7802,True,0.75,KH-007
