customer_id,segment,customer_orders,customer_sales,customer_profit,first_order_date,last_order_date,customer_avg_discount,line_count,loss_line_count,customer_margin,recency_days,customer_avg_order_value,is_repeat_customer,loss_line_rate,customer_label
SV-20365,Consumer,9,8332.09,688.3981,2014-01-11,2017-09-20,0.18666666666666665,15,6,0.08262009891875868,101,925.7877777777778,True,0.4,KH-001
JE-15715,Consumer,5,6920.136,968.0821,2016-07-08,2017-06-15,0.18571428571428572,7,2,0.13989350787325566,198,1384.0272,True,0.2857142857142857,KH-002
PF-19120,Consumer,2,6837.348,117.0058,2015-06-15,2015-09-17,0.18,5,2,0.017112746053001837,835,3418.674,True,0.4,KH-003
CJ-12010,Consumer,5,6267.194,-494.91059999999993,2016-03-10,2017-05-01,0.23000000000000004,9,5,-0.07896845063356901,243,1253.4388000000001,True,0.5555555555555556,KH-004
GT-14710,Consumer,4,6219.26,268.6073,2014-11-17,2017-05-14,0.125,4,2,0.043189591687757066,230,1554.815,True,0.5,KH-005
LA-16780,Corporate,7,5387.39,1146.4878,2014-04-29,2016-12-23,0.175,8,2,0.21280950515927008,372,769.6271428571429,True,0.25,KH-006
TP-21415,Consumer,4,4899.1208,-621.944,2015-11-28,2017-08-17,0.305,4,3,-0.12695012541842202,135,1224.7802,True,0.75,KH-007
NP-18700,Consumer,2,4839.6585000000005,176.76140000000004,2014-12-12,2016-08-12,0.23750000000000002,4,1,0.03652352743483864,505,2419.8292500000002,True,0.25,KH-008
BB-11545,Corporate,5,4768.498,770.1477,2016-11-11,2017-12-02,0.1,5,1,0.16150739708813971,28,953.6995999999999,True,0.2,KH-009
BD-11320,Consumer,5,4513.113,805.984,2015-05-31,2017-11-27,0.1,5,1,0.17858715259289984,33,902.6226,True,0.2,KH-010
